"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE2","1","Antenna_Chip","","","","esp32 antenna:ESPRESSIF_ESP32_MIFA_2.4GHz_Right",""
"C1,C22,C23,C24","4","CL31A106KBHNNNE","","","","easyeda2kicad:C1206","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL31A106KBHNNNE_10uF-106-10-50V_C13585.html"
"C2,C3,C4,C5,C8","5","CL05B104KO5NNNC","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html"
"C6,C7,C9,C18","4","0402CG1R5C500NT","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_1-5pF-1R5-0-25pF-50V_C1552.html"
"C10,C11,C13,C16","4","CL10A105KB8NNNC","","","","easyeda2kicad:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A105KB8NNNC_1uF-105-10-50V_C15849.html"
"C14,C15","2","0402CG220J500NT","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_22pF-220-5-50V_C1555.html"
"D1","1","PESD4V0Z1BSFYL","","","","easyeda2kicad:DSN0603-2_L0.7-W0.3-P0.40-BI","https://lcsc.com/product-detail/presales_Nexperia-PESD4V0Z1BSFYL_C552547.html"
"D3","1","SMBJ3.3A_C19077556","","","","easyeda2kicad:SMB_L4.6-W3.6-LS5.3-RD","https://www.lcsc.com/datasheet/C19077556.pdf"
"D4","1","1N5819WS","","","","easyeda2kicad:SOD-323_L1.8-W1.3-LS2.5-RD","https://lcsc.com/product-detail/Others_B5819WS_C191023.html"
"J4,J5","2","Conn_01x15_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical",""
"L1,L2,L4","3","SDCL0603Q2N0ST02","","","","easyeda2kicad:L0201","https://lcsc.com/product-detail/HF-Inductors_2nH-0-3nH_C42142.html"
"L3","1","SDCL1005C24NJTDF","","","","easyeda2kicad:L0402-RD","https://lcsc.com/product-detail/Inductors-SMD_24nH-5_C74301.html"
"R1,R3","2","0603WAF5101T5E","","","","easyeda2kicad:R0603","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_5-1KR-5101-1_C23186.html"
"R2","1","0402WGF4990TCE","","","","easyeda2kicad:R0402","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_499R-4990-1_C4125.html"
"R4,R5","2","0805W8F1002T5E","","","","easyeda2kicad:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_10KR-1002-1_C17414.html"
"U1","1","AMS1117-3.3","","","","easyeda2kicad:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_AMS_AMS1117-3-3_AMS1117-3-3_C6186.html"
"U3,U4","2","YZA-056-4.3","","","","easyeda2kicad:SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8","https://www.lcsc.com/datasheet/C49108646.pdf"
"U5","1","ESP32-S3","","","","easyeda2kicad:QFN-56_L7.0-W7.0-P0.40-TL-EP4.0","https://www.lcsc.com/datasheet/C2913196.pdf"
"USBC1","1","TYPE-C-31-M-12","","","","easyeda2kicad:USB-C_SMD-TYPE-C-31-M-12_1","https://lcsc.com/product-detail/USB-Type-C_Korean-Hroparts-Elec-TYPE-C-31-M-12_C165948.html"
"X1","1","TXM40M0004322HBCEO00T","","","","easyeda2kicad:CRYSTAL-SMD_4P-L3.2-W2.5-BL-2","https://lcsc.com/product-detail/_Zhejiang-Abel-Elec-TXM40M0004322HBCEO00T_C284179.html"
