Ref,Val,Package,PosX,PosY,Rot,Side
"AE2","Antenna_Chip","ESPRESSIF_ESP32_MIFA_2.4GHz_Right",84.223750,-133.875000,0.000000,top
"C1","CL10A106MA8NRNC","C0603",94.750000,-141.250000,-90.000000,top
"C2","CL05B104KO5NNNC","C0402",96.500000,-136.500000,0.000000,top
"C3","CL05B104KO5NNNC","C0402",96.500000,-137.650000,0.000000,top
"C4","CL05B104KO5NNNC","C0402",84.250000,-151.330000,90.000000,top
"C5","CL05B104KO5NNNC","C0402",96.500000,-138.750000,0.000000,top
"C6","0201CG1R5C500NT","C0201",84.020000,-135.750000,0.000000,top
"C7","0201CG1R5C500NT","C0201",83.500000,-151.750000,90.000000,top
"C8","CL05B104KO5NNNC","C0402",93.670000,-159.750000,180.000000,top
"C9","0201CG1R5C500NT","C0201",84.020000,-136.750000,0.000000,top
"C10","CL10A105KB8NNNC","C0603",94.000000,-157.750000,-90.000000,top
"C11","CL10A105KB8NNNC","C0603",91.550000,-165.750000,0.000000,top
"C12","0201CG1R5C500NT","C0201",82.500000,-137.750000,0.000000,top
"C13","CL10A105KB8NNNC","C0603",96.250000,-141.300000,90.000000,top
"C14","0402CG220J500NT","C0402",89.180000,-136.000000,180.000000,top
"C15","0402CG220J500NT","C0402",87.500000,-144.500000,-90.000000,top
"C16","CL10A105KB8NNNC","C0603",93.950000,-138.500000,180.000000,top
"C17","CL10A106MA8NRNC","C0603",79.500000,-146.800000,90.000000,top
"C18","CL10A106MA8NRNC","C0603",94.000000,-135.750000,0.000000,top
"C19","CL10A106MA8NRNC","C0603",94.000000,-137.000000,0.000000,top
"D1","PESD4V0Z1BSFYL","DSN0603-2_L0.7-W0.3-P0.40-BI",82.450000,-135.750000,0.000000,top
"D3","SMBJ3.3A_C19077556","SMB_L4.6-W3.6-LS5.3-RD",96.500000,-159.000000,-90.000000,top
"D4","1N5819WS","SOD-323_L1.8-W1.3-LS2.5-RD",90.500000,-142.500000,90.000000,top
"J4","Conn_01x15_Pin","PinHeader_1x15_P2.54mm_Vertical",76.750000,-172.250000,180.000000,top
"J5","Conn_01x15_Pin","PinHeader_1x15_P2.54mm_Vertical",100.750000,-172.250000,180.000000,top
"L1","SDCL0603Q2N0ST02","L0201",82.500000,-152.750000,90.000000,top
"L2","SDCL0603Q2N0ST02","L0201",85.250000,-150.500000,90.000000,top
"L3","SDCL1005C24NJTDF","L0402-RD",87.500000,-146.800000,90.000000,top
"L4","SDCL0603Q2N0ST02","L0201",82.520000,-136.750000,180.000000,top
"R1","0603WAF5101T5E","R0603",91.000000,-167.000000,180.000000,top
"R2","0402WGF4990TCE","R0402",79.000000,-142.500000,90.000000,top
"R3","0603WAF5101T5E","R0603",87.750000,-167.000000,90.000000,top
"R4","0805W8F1002T5E","R0805",94.750000,-163.750000,0.000000,top
"R5","0805W8F1002T5E","R0805",96.500000,-165.750000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR",83.500000,-145.250000,-90.000000,top
"U3","YZA-056-4.3","SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8",96.500000,-171.250000,-90.000000,top
"U4","YZA-056-4.3","SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8",81.000000,-171.250000,90.000000,top
"U5","ESP32-S3","QFN-56_L7.0-W7.0-P0.40-TL-EP4.0",89.000000,-154.500000,0.000000,top
"USBC1","TYPE-C-31-M-12","USB-C_SMD-TYPE-C-31-M-12_1",88.773750,-171.977544,0.000000,top
"X1","TXM40M0004322HBCEO00T","CRYSTAL-SMD_4P-L3.2-W2.5-BL-2",89.000000,-138.750000,0.000000,top
