Designator,Footprint,Quantity,Value,LCSC Part #
AE2,ESPRESSIF_ESP32_MIFA_2.4GHz_Right,1,Antenna_Chip,
"C1, C17, C18, C19",C0603,4,CL10A106MA8NRNC,C96446
"C10, C11, C13, C16",C0603,4,CL10A105KB8NNNC,C15849
"C12, C6, C7, C9",C0201,4,0201CG1R5C500NT,C50389
"C14, C15",C0402,2,0402CG220J500NT,C1555
"C2, C3, C4, C5, C8",C0402,5,CL05B104KO5NNNC,C1525
D1,DSN0603-2_L0.7-W0.3-P0.40-BI,1,PESD4V0Z1BSFYL,C552547
D3,SMB_L4.6-W3.6-LS5.3-RD,1,SMBJ3.3A_C19077556,C19077556
D4,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N5819WS,C191023
"J4, J5",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15_Pin,
"L1, L2, L4",L0201,3,SDCL0603Q2N0ST02,C42142
L3,L0402-RD,1,SDCL1005C24NJTDF,C74301
"R1, R3",R0603,2,0603WAF5101T5E,C23186
R2,R0402,1,0402WGF4990TCE,C4125
"R4, R5",R0805,2,0805W8F1002T5E,C17414
U1,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
"U3, U4",SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,2,YZA-056-4.3,C49108646
U5,QFN-56_L7.0-W7.0-P0.40-TL-EP4.0,1,ESP32-S3,C2913196
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL-2,1,TXM40M0004322HBCEO00T,C284179
